89642;100;-66.663167,140.001
81415;100;3.640167,-54.028333
81408;100;3.890667,-51.804667
81405;100;4.822333,-52.365333
81401;100;5.4855,-54.031667
78925;100;14.595333,-60.995667
78922;100;14.7745,-60.875333
78897;100;16.264,-61.516333
78894;100;17.9015,-62.852167
78890;100;16.335,-61.004
71805;100;46.766333,-56.179167
67005;100;-12.8055,45.282833
61998;100;-49.352333,70.243333
61997;100;-46.4325,51.856667
61996;100;-37.795167,77.569167
61980;97;-20.8925,55.528667
61976;100;-15.887667,54.520667
61972;100;-22.344167,40.340667
61970;100;-17.054667,42.712
61968;100;-11.582667,47.289667
07790;100;42.540667,9.485167
07761;100;41.918,8.792667
07747;100;42.737167,2.872833
07690;100;43.648833,7.209
07661;100;43.079333,5.940833
07650;100;43.437667,5.216
07643;100;43.577,3.963167
07630;100;43.621,1.378833
07627;100;43.005333,1.106833
07621;100;43.188,0.0
07607;100;43.909833,-0.500167
07591;100;44.565667,6.502333
07577;100;44.581167,4.733
07558;100;44.1185,3.0195
07535;100;44.745,1.396667
07510;100;44.830667,-0.691333
07481;100;45.7265,5.077833
07471;100;45.0745,3.764
07460;100;45.786833,3.149333
07434;100;45.861167,1.175
07335;100;46.593833,0.314333
07314;100;46.046833,-1.4115
07299;100;47.614333,7.51
07280;100;47.267833,5.088333
07255;100;47.059167,2.359833
07240;100;47.4445,0.727333
07222;100;47.15,-1.608833
07207;100;47.294333,-3.218333
07190;100;48.5495,7.640333
07181;100;48.581,5.959833
07168;100;48.324667,4.02
07149;100;48.716833,2.384333
07139;100;48.4455,0.110167
07130;100;48.068833,-1.734
07117;100;48.825833,-3.473167
07110;100;48.444167,-4.412
07072;100;49.209667,4.155333
07037;100;49.383,1.181667
07027;100;49.18,-0.456167
07020;100;49.725167,-1.939833
07015;100;50.57,3.0975
07005;100;50.136,1.834
ID OMM station;Humidité;Coordonnees
