ID OMM station;Pression station;Pression station;0
07005;;104000.0;100740
07015;;104280.0;101028
07020;;104780.0;101359
07027;;104040.0;100867
07037;;102920.0;99737.1
07072;;103530.0;100536
07110;;103610.0;100492
07117;;104120.0;100837
07130;;104250.0;101146
07139;;102910.0;99214.6
07149;;103560.0;100617
07168;;103070.0;100297
07181;;100290.0;97640.3
07190;;102740.0;99921.1
07207;;104110.0;82461
07222;;104170.0;101403
07240;;103050.0;100386
07255;;102210.0;99765.4
07280;;101540.0;98997.1
07299;;101170.0;98501.5
07314;;104060.0;101506
07335;;102730.0;100291
07434;;99230.0;97006.5
07460;;103610.0;97829.5
07471;;94100.0;92149.6
07481;95170.0;101210.0;98901.2
07510;97000.0;103690.0;101213
07535;;100960.0;98692.3
07558;;95510.0;93457.4
07577;;103030.0;100811
07591;88160.0;93540.0;91596.6
07607;;103560.0;101117
07621;;99840.0;97529.1
07627;;99290.0;96959.5
07630;;102440.0;100011
07643;;103780.0;101559
07650;;103440.0;101209
07661;;102060.0;79060.4
07690;;103610.0;101192
07747;;103460.0;101095
07761;;103770.0;101422
07790;;103820.0;101304
61968;;102170.0;82479.2
61970;;102360.0;47131.2
61972;;102840.0;82634.4
61976;;109510.0;80767.3
61980;;102700.0;57264.2
61996;;104030.0;74242
61997;;101940.0;71495.1
61998;;103460.0;70903.5
67005;;102130.0;57526.8
71805;;104930.0;101105
78890;;101810.0;100242
78894;99980.0;101700.0;101061
78897;;102080.0;47600.1
78922;;103070.0;98135.9
78925;;102000.0;53295.2
81401;;101850.0;97952.8
81405;100410.0;101780.0;101127
81408;;101810.0;101047
81415;;100690.0;95363.1
89642;;102280.0;98115.7
