ID OMM station;Température (°C);Température (°C);0
07005;;41.200000000000045;11.188
07015;-12.299999999999955;41.400000000000034;11.4534
07020;;32.10000000000002;12.0631
07027;;39.5;11.467
07037;;40.900000000000034;11.0565
07072;;40.900000000000034;11.4651
07110;;38.80000000000001;11.7592
07117;;35.200000000000045;12.2112
07130;;40.200000000000045;12.2667
07139;;39.30000000000001;11.4018
07149;;41.400000000000034;12.3638
07168;;41.30000000000001;11.6972
07181;;39.400000000000034;10.8771
07190;;38.80000000000001;11.7563
07207;;34.400000000000034;13.2589
07222;;41.80000000000001;12.8585
07240;;40.5;12.5509
07255;;40.80000000000001;12.4837
07280;;38.900000000000034;11.733
07299;;38.400000000000034;11.3419
07314;;36.30000000000001;13.8322
07335;;39.700000000000045;12.5024
07434;;38.0;11.9246
07460;;40.60000000000002;12.4222
07471;;37.200000000000045;9.32801
07481;;38.900000000000034;13.0887
07510;-8.699999999999989;40.400000000000034;14.1974
07535;;39.900000000000034;13.0094
07558;;36.400000000000034;11.2784
07577;;39.60000000000002;14.4917
07591;;38.10000000000002;11.0431
07607;;40.60000000000002;13.7584
07621;;38.60000000000002;12.8343
07627;;37.900000000000034;12.521
07630;;39.700000000000045;14.4303
07643;;42.0;15.7838
07650;;39.10000000000002;16.1065
07661;;35.700000000000045;12.5739
07690;;36.5;16.6229
07747;;41.900000000000034;16.3238
07761;;38.60000000000002;16.2425
07790;;35.200000000000045;16.4017
61968;;60.0;26.9244
61970;;33.200000000000045;27.1545
61972;;35.30000000000001;25.4003
61976;;67.70000000000005;26.5544
61980;;33.60000000000002;24.4743
61996;;25.100000000000023;14.2783
61997;;21.310000000000002;5.31995
61998;;21.200000000000045;5.08886
67005;;33.400000000000034;27.0687
71805;;28.0;6.31985
78890;;33.80000000000001;27.3193
78894;;34.400000000000034;26.3109
78897;;33.0;26.2953
78922;;67.70000000000005;27.4308
78925;;35.10000000000002;26.9151
81401;;37.5;26.1243
81405;;35.10000000000002;26.4414
81408;;59.700000000000045;26.1285
81415;;51.60000000000002;26.3095
89642;;7.300000000000011;-11.0989
